,name,state,price in €,rooms,size
89,Apartment Haarlemmermeerstraat 30 III,1058 KA Amsterdam (Hoofddorppleinbuurt),"1,760 per month",3 rooms,69 m²
90,Apartment Woubruggestraat 14 I,1059 VR Amsterdam (Hoofddorppleinbuurt),"1,850 per month",3 rooms,67 m²
91,Apartment Keizersgracht 111 souter.,1015 CJ Amsterdam (Grachtengordel-West),"1,700 per month",2 rooms,60 m²
92,Apartment Haarlemmermeerstraat 30 I,1058 KA Amsterdam (Hoofddorppleinbuurt),"1,650 per month",3 rooms,67 m²
93,Apartment Pythagorasstraat,1098 GB Amsterdam (Middenmeer),"2,000 per month",3 rooms,92 m²
94,Apartment Tweede Jan Steenstraat,1073 VP Amsterdam (Oude Pijp),"2,000 per month",3 rooms,65 m²
95,Apartment Marnixkade 47 H,1015 XT Amsterdam (Jordaan),"2,100 per month",2 rooms,67 m²
96,Apartment Jacob van Lennepstraat 230 A,1053 KB Amsterdam (Van Lennepbuurt),"2,750 per month",5 rooms,117 m²
97,Apartment Wiborgeiland 135,1014 ZC Amsterdam (Houthavens),"2,500 per month",4 rooms,100 m²
98,Apartment Kanteel 32,1083 DB Amsterdam (Buitenveldert-Oost),"2,200 per month",4 rooms,101 m²
99,Apartment President Kennedylaan 264 U,1079 NX Amsterdam (Scheldebuurt),"1,750 per month",2 rooms,49 m²
100,Apartment Hoofdweg,1058 BA Amsterdam (Westindische Buurt),"1,950 per month",3 rooms,80 m²
101,Apartment Leidsekade,1016 CX Amsterdam (Jordaan),"2,000 per month",3 rooms,72 m²
102,Apartment Arent Janszoon Ernststraat,1082 LN Amsterdam (Buitenveldert-West),"1,900 per month",4 rooms,80 m²
103,Apartment Solitudolaan,1096 DS Amsterdam (Omval/Overamstel),"1,850 per month",2 rooms,65 m²
104,Apartment Churchill-laan 137 2,1078 DR Amsterdam (Scheldebuurt),"2,250 per month",4 rooms,104 m²
105,Apartment Bovenover 43,1025 JJ Amsterdam (Buikslotermeer),"1,995 per month",4 rooms,94 m²
106,House Derde Egelantiersdwarsstraat,1015 SG Amsterdam (Jordaan),"2,350 per month",5 rooms,112 m²
107,Apartment Ruysdaelstraat,1071 XH Amsterdam (Museumkwartier),"1,650 per month",2 rooms,50 m²
108,Apartment Elisabeth Wolffstraat 11 H,1052 RN Amsterdam (Kinkerbuurt),"1,750 per month",3 rooms,64 m²
109,Apartment Overtoom,1054 HM Amsterdam (Helmersbuurt),"2,250 per month",3 rooms,85 m²
110,Apartment Jan Tooropstraat,1061 AE Amsterdam (Overtoomse Veld),"1,695 per month",3 rooms,110 m²
111,Apartment Valckenierstraat 1 HS,1018 XB Amsterdam (Weesperbuurt/Plantage),"1,900 per month",3 rooms,80 m²
112,Apartment Nepveustraat 39 2,1058 XM Amsterdam (Westindische Buurt),"1,575 per month",2 rooms,50 m²
113,Apartment Baden Powellweg,1069 LH Amsterdam (Osdorp-Midden),"1,050 per month",1 room,31 m²
114,Apartment Dollardpad,1025 XG Amsterdam (Buikslotermeer),"1,695 per month",3 rooms,85 m²
115,Apartment Warmoesstraat 50 K,1012 JE Amsterdam (Burgwallen-Oude Zijde),"2,150 per month",2 rooms,46 m²
116,Apartment Herengracht,1016 BE Amsterdam (Grachtengordel-West),"2,500 per month",3 rooms,81 m²
117,Apartment Céramiquelaan,1031 KG Amsterdam (Noordelijke IJ-oevers West),"2,750 per month",3 rooms,99 m²
118,Apartment Van Nijenrodeweg 440 II,1082 HK Amsterdam (Buitenveldert-West),"1,950 per month",3 rooms,85 m²
119,Apartment Warmoesstraat 12 E,1012 JD Amsterdam (Burgwallen-Oude Zijde),"1,950 per month",1 room,72 m²
120,Apartment Warmoesstraat 98 B,1012 JH Amsterdam (Burgwallen-Oude Zijde),"1,950 per month",2 rooms,48 m²
121,Apartment Gillis van Ledenberchstraat,1052 TV Amsterdam (Frederik Hendrikbuurt),"1,950 per month",3 rooms,85 m²
122,Apartment Jephtastraat,1055 JS Amsterdam (Landlust),"2,500 per month",4 rooms,89 m²
123,Apartment Jan van Goyenkade,1075 HN Amsterdam (Willemspark),"5,000 per month",3 rooms,123 m²
124,Apartment Staalmeesterslaan 410,1057 PH Amsterdam (Overtoomse Veld),"1,600 per month",1 room,22 m²
125,Apartment Gibraltarstraat 74 HS,1055 NS Amsterdam (Landlust),"1,675 per month",3 rooms,74 m²
126,House Jelle Posthumapad,1106 ZP Amsterdam (Gein),"1,495 per month",5 rooms,100 m²
127,Apartment Eerste Constantijn Huygensstraat 67 III,1054 BT Amsterdam (Helmersbuurt),"1,875 per month",3 rooms,113 m²
128,Apartment Anjeliersstraat,1015 ND Amsterdam (Jordaan),"1,500 per month",2 rooms,41 m²
129,Apartment Jacob van Lennepstraat 230 A,1053 KB Amsterdam (Van Lennepbuurt),"2,750 per month",5 rooms,117 m²
130,Apartment Haparandaweg 596,1013 BD Amsterdam (Houthavens),"2,000 per month",4 rooms,106 m²
131,Apartment Sarphatipark 42 III,1073 CZ Amsterdam (Nieuwe Pijp),"1,900 per month",2 rooms,67 m²
132,Apartment Diezestraat 13 II,1078 JM Amsterdam (Scheldebuurt),"2,500 per month",4 rooms,134 m²
133,Apartment Prinsengracht 533 II,1016 HS Amsterdam (Grachtengordel-West),"2,250 per month",3 rooms,51 m²
134,Apartment Olympiaweg,1076 XC Amsterdam (Stadionbuurt),"1,695 per month",3 rooms,65 m²
135,Apartment Tweede Jan van der Heijdenstraat 89 C,1074 XS Amsterdam (Oude Pijp),"2,300 per month",3 rooms,64 m²
136,Apartment Nieuwezijds Voorburgwal,1012 SJ Amsterdam (Burgwallen-Nieuwe Zijde),"1,350 per month",1 room,25 m²
137,Apartment Kribbestraat 32 H,1079 WS Amsterdam (Rijnbuurt),"1,600 per month",3 rooms,60 m²
138,Apartment Legmeerstraat,1058 NG Amsterdam (Hoofddorppleinbuurt),"1,650 per month",3 rooms,60 m²
139,Apartment Vondelstraat,1054 GJ Amsterdam (Vondelbuurt),"1,750 per month",3 rooms,60 m²
140,Apartment Leidsekade,1017 PM Amsterdam (De Weteringschans),"6,250 per month",4 rooms,165 m²
141,Apartment Oudezijds Voorburgwal 217 P,1012 EX Amsterdam (Burgwallen-Oude Zijde),"2,500 per month",3 rooms,150 m²
142,House Knokkestraat 56,1066 WK Amsterdam (Sloter-/Riekerpolder),"2,100 per month",7 rooms,127 m²
143,Apartment Gerard Doustraat,1072 VG Amsterdam (Oude Pijp),"2,650 per month",3 rooms,90 m²
144,Apartment Van Nijenrodeweg 239,1082 GW Amsterdam (Buitenveldert-West),"1,900 per month",3 rooms,87 m²
145,Apartment Prinsengracht 478 3,1017 KG Amsterdam (De Weteringschans),"1,850 per month",2 rooms,75 m²
146,Apartment Frederik Hendrikplantsoen 11 B,1052 XP Amsterdam (Frederik Hendrikbuurt),"1,850 per month",3 rooms,55 m²
147,Apartment Waterkeringweg,1051 NX Amsterdam (Centrale Markt),"1,895 per month",3 rooms,74 m²
148,Apartment Erich Salomonstraat,1087 GT Amsterdam (IJburg West),"1,550 per month",2 rooms,85 m²
149,Apartment Jacques Veltmanstraat 259,1065 DB Amsterdam (Slotervaart Zuid),"2,400 per month",4 rooms,120 m²
150,Apartment Van Oldenbarneveldtstraat,1052 JX Amsterdam (Frederik Hendrikbuurt),"2,500 per month",4 rooms,118 m²
151,Apartment Ertskade 252,1019 BB Amsterdam (Oostelijk Havengebied),"2,750 per month",4 rooms,124 m²
